START : 00:00

MINMAY TIMESTAMPS
2m29s449 2m30s751
2m33s050 2m34s821
2m37s357 2m39s100
2m40s100 2m45s600
2m47s900 2m50s600
2m52s606 2m56s443
2m57s700 2m58s350
3m03s116 3m07s850
3m08s700 3m10s500
3m12s125 3m13s200
3m52s265 3m53s900
3m54s500 3m56s536
4m36s300 4m39s946
4m42s215 4m43s750
4m46s920 4m55s896
5m02s500 5m04s337
5m05s105 5m11s077
5m13s780 5m17s750
5m19s050 5m24s858
5m26s750 5m28s895
5m43s710 5m48s415
5m51s651 5m54s154
5m56s300 6m01s862
6m17s100 6m19s700
6m21s181 6m22s849
6m23s900 6m27s000
6m29s000 6m30s790
6m33s100 6m34s628
6m35s800 6m36s930
7m01s000 7m02s555
7m08s561 7m10s100
7m14s100 7m17s137
7m17s100 7m20s674
7m27s250 7m30s650
7m38s458 7m41s995
7m47s634 7m51s471
7m55s000 7m58s578
8m24s650 8m24s938
8m34s500 8m36s350
8m38s000 8m39s719
8m51s731 8m56s600
8m59s172 9m01s041
21m02s394 21m04s663
21m11s200 21m15s341
21m17s943 21m22s550
21m52s812 26m41s500
22m22s100 22m24s550
23m02s181 23m04s850
